613,Eiden  2007,17489884
614,Brown  2014,24855597
616,Reinhold  2009,22190985
617,Omar  2014,24462399
618,Joy  2011,21716272
619,Bienias  2014,25546990
620,Chung  2007,17976767
621,Chang  2009,19857426
622,Novick  2016,26621501
623,Keivanidou  2009,19387967
624,Gulamhusein  1982,7104914
628,Beattie  1984,6531689
629,Hii  1991,1721143
630,Mittal  2014,25438492
631,Lamont  2006,17026725
632,Tan  1998,9505930
633,Laqueille  2013,24247876
634,Arstall  1992,1409197
